sku,category_name_1,price
Al Muhafiz Sohan Halwa Almond,Soghaat,350.0
UK_Gift Box Baklawa 500 Gms,Soghaat,425.0
sputnik_2146/6-8,Women's Fashion,850.0
kkc_Kingtox 450ml Classic Green All Insect Killer Spray,Home & Living,251.0
Al Muhafiz Sohan Halwa Walnut,Soghaat,510.0
RS_Honey Dry Fruit Halwa,Soghaat,325.0
itter_AB 1214,Beauty & Grooming,300.0
Eco Star_40U557,Entertainment,30417.0
Orient_OR-6057 GX LGFD LV,Appliances,45250.0
HOS_JPGCW100,Beauty & Grooming,8100.0
kkc_Jasmine King Air Freshener,Home & Living,144.0
asimjofaeanew_5A,Women's Fashion,5597.0
ajmery_F9-981,Men's Fashion,999.0
hijabh_JILBAB-C (1)-52x,Women's Fashion,4950.0
noritake_NTM163M,Home & Living,805.0
RS_Habshi Halwa Tin,Soghaat,280.0
sentiments_WRK1612,\N,1.0
bata_comfit-8613714-43-9,Men's Fashion,999.0
UK_Namkino Mix Nimco 8 Pcs Gift Pack,Soghaat,760.0
Inoxy_Inoxy Hair Miracle Elixir,Beauty & Grooming,1875.0
RS_Chum Chum Tin,Soghaat,435.0
Dany_AUK-650 ,Mobiles & Tablets,4200.0
urban_ PT004-L,\N,550.0
jackpot_JP-7999,Appliances,1230.0
UK_Gift Box Pistachio Delight 500 Gms,Soghaat,370.0
test_tcsconnect,\N,2.0
sst_Lyquin-Regular fit-Large,Men's Fashion,1950.0
Fcafe_11777-L,Men's Fashion,795.0
LC_359547105042,Beauty & Grooming,4750.0
LC_3349668508587,Beauty & Grooming,7400.0
RS_pheni Desi Ghee 1 kg ,Soghaat,520.0
UK_Gulab Jamun Tin Pack 500 Gms,Soghaat,260.0
UK_Chum Chum Tin Pack  500 Gms,Soghaat,260.0
UK_Namkino Mix Nimco 200 Gms,Soghaat,80.0
sentiments_Ferrero Rocher Gift Box,\N,1.0
EGO_E02377-SML-BG00-S,Women's Fashion,1950.0
darzee_DP-234-B-Pink-15-M,Men's Fashion,1450.0
Q MOBILE Noir W7,Mobiles & Tablets,3950.0
RS_Kaju Barfi,Soghaat,425.0
RS_cake rusk,Soghaat,190.0
HR_Bhel Puri 200g,Soghaat,210.0
UK_Gift Box Almond Delight 500 Gms,Soghaat,350.0
UK_Soan Papdi 500 Gms,Soghaat,280.0
Huawei Honor 4C,Mobiles & Tablets,16460.0
bata_comfit-8614096-43-9,Men's Fashion,599.0
bata_comfit-8614096-41-7,Men's Fashion,599.0
UK_Gift Box Baklawa 300 Gms,Soghaat,265.0
UK_Namkino Daal Moth Classic 160 Gms,Soghaat,90.0
kcc_Bold Pocket Perfume,Beauty & Grooming,120.0
UK_Cake Rusk Original 150 Gms,Soghaat,90.0
itter_AB 1207,Beauty & Grooming,250.0
Samsung Galaxy J7,Mobiles & Tablets,25999.0
Dany_AUK 55 ,Mobiles & Tablets,3900.0
anex_2028,Appliances,3600.0
Atiqa_ACFP-01,Beauty & Grooming,450.0
UK_Soan Papdi Orange 250 Gms,Soghaat,150.0
kcc_Xtreme Classical Men Shower Gel,Beauty & Grooming,143.0
UK_Tea Rusk Regular 220 Gms,Soghaat,75.0
kcc_Glow,Beauty & Grooming,140.0
emo_HST-17030-B-M,Men's Fashion,550.0
Dany_Powerbank Pb- 41,Mobiles & Tablets,1050.0
Getiit_Joy,Men's Fashion,3750.0
MYWALET_MW-012-BLACK,Men's Fashion,455.0
sstop_Mini AIr Conditioner,Appliances,1335.0
Huawei_Huawei B2 Talk Band,Mobiles & Tablets,10740.0
cr_DATES WITH CASHEW-200 GM,Soghaat,230.0
cr_DATES WITH WALNUT-200 GM,Soghaat,230.0
Xenium_TG-201653,Mobiles & Tablets,300.0
Xenium_TG-2016132,Mobiles & Tablets,300.0
Xenium_MBC-2016130,Mobiles & Tablets,799.0
ESPICO_Sports Bra-Skin-Free size,Women's Fashion,480.0
PucaM_FLASH-BLACK-45,Men's Fashion,1200.0
Huawei Y221,Mobiles & Tablets,4530.0
Rabia_1-A,Women's Fashion,1890.0
kkc_Rose Oasis Prickly Heat Powder,Beauty & Grooming,80.0
cr_MUZAFTI IRANI (500GM),Soghaat,185.0
test_tcsconnect1,\N,1.0
Test Hazir Product 2-Karachi,\N,5.0
Audionic_B-710,Computing,1350.0
Haier M106,Mobiles & Tablets,2490.0
GBH-GL245-GOLD-7,Women's Fashion,1650.0
itter_AB1263,Beauty & Grooming,1870.0
GBH-GL226-PINK-8,Women's Fashion,2050.0
sstop_3dcreenwithspeakers,Computing,995.0
UK_Namkino Khat Mitha Mix 400 Gms,Soghaat,170.0
UK_Sohan Halwa Tin Pack 400 Gms,Soghaat,285.0
bata_leena-5178202-38-5,Women's Fashion,1099.0
KC_209 White-M,Men's Fashion,3290.0
mm_AG-1038c,Appliances,1690.0
3m_DC272923871,Superstore,500.0
MEGUIAR_G12711,Others,2800.0
MEGUIAR_G3503,Others,2550.0
MEGUIAR_X3070,Others,570.0
BFk_Denim Jeans with Gallace for Boys |OF67-3-4 yrs,Kids & Baby,903.0
RS_Soan Papri-250gm,Soghaat,150.0
kcc_lush,Beauty & Grooming,140.0
HR_Pani Puri 360g,Soghaat,350.0
kcc_active,Beauty & Grooming,180.0
kcc_Xtreme Mantastic Men Shower Gels,Beauty & Grooming,143.0
Rajesh_RAJ033,Health & Sports,1065.0
ajmery_AJ-123-L,Men's Fashion,999.0
mitsubishi_1.5 ton SRC 18CLK,Appliances,55850.0
Dany_Genius Tab G7 Metallica ,Mobiles & Tablets,6500.0
bata_leena-6618940-39-6,Women's Fashion,399.0
gree_12CZ8,Appliances,42860.0
Teenz_B-0541,Women's Fashion,3250.0
Emo_SS-22057-11,Men's Fashion,775.0
sapil_Sapil Disclosure Men 100ML,Beauty & Grooming,1647.0
MYWALET_MW-002-D-BROWN,Men's Fashion,512.0
kcc_Bakheer Pocket Perfume,Beauty & Grooming,120.0
kcc_Oudh Pocket Perfume,Beauty & Grooming,120.0
kcc_Asool Pocket Perfume,Beauty & Grooming,120.0
Veet_3,Beauty & Grooming,165.0
itter_AB 1141,Beauty & Grooming,640.0
Veet_5,Beauty & Grooming,165.0
sst_Logic  3-Regular fit-Medium,Men's Fashion,1950.0
kkc_Hayam King Air Freshener,Home & Living,144.0
sapil_Sapil Passion Women 200ML,Beauty & Grooming,375.0
Dynasty_Classic Cotton-Skin,Men's Fashion,1725.0
WE_ni72_parrot-veet-gift,\N,1330.0
cos_prfume_9,\N,5200.0
Trans_LW 509B ,Kids & Baby,1350.0
LC_3595471021182,Beauty & Grooming,8150.0
shoppingmania_18k Gold Filled Blue Ruby Necklace & Earrings,Women's Fashion,1499.0
Teenz_R-0172-7,Women's Fashion,2250.0
HOS_RLRW100,Beauty & Grooming,8300.0
AKL_A131131293_FC-12,Women's Fashion,9490.0
MYWALET_MW-014-BLACK,Men's Fashion,428.0
Xenium_WA-201611,Women's Fashion,860.0
pak_B-32,Home & Living,300.0
rub_Rubian_VR-Box With Remote,Mobiles & Tablets,1765.0
kkc_ Icy Menthol Oasis Prickly Heat Powder,Beauty & Grooming,80.0
shoppingmania_Enamel Retro NecklaceTitanic Heart Crystal Pendant,Women's Fashion,999.0
Teenz_E-1574 silver,\N,1560.0
emo_HSP-17043-M,Men's Fashion,500.0
Emo_HST-28676-L,Men's Fashion,199.0
RS_Pheni Desi Ghee 500gm,Soghaat,260.0
Huawei Honor 4X,Mobiles & Tablets,24499.0
AUDIONIC6-954217-513546,Computing,540.0
bata_leena-5176214-40-7,Women's Fashion,999.0
Tiraaz_Tm-01-001-M,Men's Fashion,2508.0
Audionic_B-334,Computing,1900.0
kcc_effect,Beauty & Grooming,140.0
bata_wein-8734881-44-10,Men's Fashion,1199.0
CU-0107-Slim Fit Small,Men's Fashion,1295.0
itter_AB 1122,Beauty & Grooming,800.0
itter_AB 1126,Beauty & Grooming,800.0
itter_AB 1125,Beauty & Grooming,640.0
HR_Soan Papdi 500g,Soghaat,655.0
stitchers_TnT 012-L,Men's Fashion,1999.0
Ego_E02437-GN0-Green-XSM,Women's Fashion,2750.0
Ref-Queen 5041-Black-38,Women's Fashion,2695.0
B-power_8282391-44,Men's Fashion,2499.0
dawlance_Health Zone Plus 30 - 1.5 Ton Air Conditioner,Appliances,37550.0
vitamin_Vita White,Health & Sports,960.0
Rajesh_RAJ61,Appliances,680.0
BO_topfastRc-yellow,Kids & Baby,490.0
Rajesh_Ben 10 Rail,Kids & Baby,400.0
kcc_jazzy,Beauty & Grooming,140.0
Samsung Galaxy S7 Edge,Mobiles & Tablets,88999.0
BO_racingjeeoRC-silver,Kids & Baby,790.0
Rajesh_Green Ben 10 Educational Computer,Kids & Baby,670.0
BO_nonRC-Jeep-Red,Kids & Baby,320.0
BO_blocks-small-1,Kids & Baby,290.0
osaka_3.5W LED BULB,Appliances,188.0
Mochika_M0001125-8,Men's Fashion,1913.0
Mochika_M0001125-12,Men's Fashion,1913.0
Dany256564981654986456,Computing,100.0
Dany72474879523146357896,Computing,65.0
cr_REWARI CHAKWAL,Soghaat,110.0
AKL_A131128850_SS-19_Blue,Women's Fashion,3975.0
ihijab_PN025,Women's Fashion,639.0
bed&rest_Danika 3D,Home & Living,630.0
VITAMIN_KOJIC ACID WHITENING CREAM,Beauty & Grooming,280.0
PHILIPS_HP8600_32,Beauty & Grooming,2950.0
b&d_Citrus Juicer CJ650   ,Appliances,3000.0
vitamin_Kojic Acid Whitening Face Wash,Beauty & Grooming,280.0
E TCF_Educate a child for a month-PKR 1250,\N,1250.0
bata_comfit-8614737-42-8,Men's Fashion,899.0
kcc_Cool Pocket Perfume,Beauty & Grooming,120.0
UK_Gift Box Mix Sweets 500 Gms,Soghaat,330.0
Dynasty_Dynasty Spark-Off-White,Men's Fashion,3295.0
mitsubhisi_1.0 Ton - SRK-13CMK,Appliances,45215.0
Dynasty_Dynasty Spark-Grey,Men's Fashion,3295.0
UK_Bangali Rasgulla Tin Pack  500 Gms,Soghaat,260.0
UK_Namkino Masala Sev 200 Gms,Soghaat,80.0
UK_ Namkino Daal Moong 200 Gms,Soghaat,90.0
UK_Bhel Puri 200 Gms,Soghaat,150.0
UK_Namkino Khat Mitha Mix 200 Gms,Soghaat,80.0
Ctees_Paris Butterflies Pouch,Women's Fashion,990.0
bata_comfit-8644502-42-8,Men's Fashion,699.0
Emo_SS-18755-41,Men's Fashion,699.0
itter_AB 1211,Beauty & Grooming,250.0
WE_TU2,Women's Fashion,1530.0
bata_bags_9064517-Brown,Women's Fashion,1999.0
sapil_Sapil Nancy Women 200ML,Beauty & Grooming,375.0
ajmery_TA-3,Men's Fashion,999.0
Emo-CT-24304 Green 8 Pocket Cargo Trouser-34,Men's Fashion,999.0
UK_Kala Jamun Tin Pack 500 Gms,Soghaat,260.0
tram_TT25125100,Home & Living,120.0
US-MSK-6-pink-2T,Kids & Baby,799.0
ihijab_PN041,Women's Fashion,799.0
asimjofaeanew_4A,Women's Fashion,5597.0
tram_TT25128100,Home & Living,215.0
jackpot_JP-902,Appliances,1315.0
sanasafinaz_march16_10B-Nationwide Delivery,Women's Fashion,5950.0
HR_Punjabi Tadka 200g,Soghaat,210.0
UK_Namkino Crunchy Nut Mix 200 Gms,Soghaat,100.0
Royal_Energy saver Fan 56 New Model,Appliances,3900.0
emo_Emo-MH-25104-M,Men's Fashion,899.0
urban_URT0025 -L,Men's Fashion,1100.0
Emo-CT-24302 Brown Twill Cotton 8 Pocket Cargo Trouser-30,Men's Fashion,999.0
emo_Emo-MH-19734-M,Men's Fashion,799.0
UK_Namkino Mix Nimco 5 Pcs Gift Pack,Soghaat,495.0
dawlance_Refrigerator 9170WB Energy Saver,Appliances,33685.0
UK_Bangali Chum Chum Tin Pack  500 Gms,Soghaat,260.0
bed&rest_B3,Home & Living,630.0
tram_TT23080083,Home & Living,55.0
ajmery_BAT-3-S,Men's Fashion,999.0
UC_Dark Navy Plain Polo-XL,Men's Fashion,650.0
UC_Rust Plain Polo-XL,Men's Fashion,650.0
UC_Purple Plain Polo-XL,Men's Fashion,650.0
UC_Lagoon Plain Polo-XL,Men's Fashion,650.0
audionic9-542175-49576,Entertainment,2950.0
shoppers stop_AndroidOTGAdaptor-7,Mobiles & Tablets,220.0
sputnik_806/14A-8,Men's Fashion,2800.0
Rajesh_White Wax Vac Ear Cleaner,Appliances,1200.0
Samsung Galaxy A7 710F (2016),Mobiles & Tablets,48000.0
casio_MTP-1183A-2ADF,Men's Fashion,2600.0
stitchers_TnT 034-L,Men's Fashion,1499.0
qzs_Blue Cotton Broad Neck T-shirt,Men's Fashion,795.0
Apple iPhone 6S 16GB,Mobiles & Tablets,80000.0
vitamin_Milk Thistle Liver Formula,Health & Sports,480.0
Q&Q_VW90-112Y,Men's Fashion,1700.0
emo_MK-19113-S,Men's Fashion,1299.0
Tiraaz_Tm-02-012-S,Men's Fashion,2678.0
Tiraaz_Tm-02-016-S,Men's Fashion,3103.0
Dynasty_Dynasty Spark-Royal Blue,Men's Fashion,3295.0
Dynasty_Dynasty Spark-French Blue,Men's Fashion,3295.0
Dynasty_Dynasty Spark-Brown,Men's Fashion,3295.0
Emo_SS-24020-42,Men's Fashion,1050.0
GBH_GS802-7,\N,2995.0
Mochika_M0001129-10,Men's Fashion,1148.0
RS_Karachi Halwa Tin,Soghaat,280.0
cr_AJWA DATES (400 GM),Soghaat,925.0
kcc_Sultanat Pocket Perfume,Beauty & Grooming,120.0
Haier G20,Mobiles & Tablets,4380.0
Eco Star_32U557,Entertainment,20104.0
Dany6-954217-555652,Computing,2050.0
kcc_lavender,Home & Living,120.0
kkc_Fayha King Air Freshener,Home & Living,144.0
kkc_Lavender King Air Freshener,Home & Living,144.0
kcc_rose,Home & Living,120.0
kcc_fresh,Beauty & Grooming,180.0
west point_WF-306,Appliances,3070.0
RS_Sohan Halwa_Tin-1000 GM,Soghaat,600.0
Huawei P8 lite,Mobiles & Tablets,19370.0
Audionic_LT-486,Computing,250.0
ajmery_1-AJ,Men's Fashion,1099.0
alpina_Popcorn Maker SF-2608,Appliances,3150.0
Haier M108,Mobiles & Tablets,3100.0
Gree_24CZ8,Appliances,72350.0
hol_A-406M-42,Men's Fashion,1690.0
Samsung Galaxy A3,Mobiles & Tablets,25999.0
PHILIPS_HP8105_29,Beauty & Grooming,2340.0
RS_Baklawa 500gm,Soghaat,330.0
RS_Nan Khatai,Soghaat,210.0
philips_HD8323/01,Appliances,20890.0
cr_ALMOND PLAIN-500 GM,Soghaat,940.0
dawlance_Health Zone Plus 15 - 1 Ton Air Conditioner,Appliances,30205.0
Audionic_B-880,Computing,1375.0
mm_AG-3017,Appliances,2070.0
VITAMIN_VITA HAIR TREATMENT,Beauty & Grooming,2000.0
vitamin_Aloe Vera Plus,Health & Sports,400.0
audionic6-954217-562582,Computing,585.0
MYWALET_MW-060-BROWN,Men's Fashion,626.0
WE_MA14,Women's Fashion,1658.0
Teenz_E-1573,Women's Fashion,1233.0
AT-TT-2,Kids & Baby,1127.25
AT-MFNC-10,Kids & Baby,1160.65
BB_KIDSHD_PIR,Kids & Baby,799.0
BB_KIDSHD_ BUL,Kids & Baby,799.0
JBS_SL-STOR-031,Home & Living,280.0
BO_nonRC-Jeep-Silver,Kids & Baby,320.0
AUDIONIC BT110 SPEAKER,Computing,775.0
sapil_Sapil Chichi Women 100ML,Beauty & Grooming,1647.0
AKL_A131128777_SS-33_Yellow,Women's Fashion,3975.0
Dany6-954217-691862,Computing,925.0
kke_SCF690_17-A2P-global-001,Kids & Baby,1160.0
PucaM_SS-35-OLIVE BLACK-42,Men's Fashion,1650.0
ajmery_SYB-519-43,Men's Fashion,959.0
Bold_Classic,Beauty & Grooming,299.0
Bold_Active,Beauty & Grooming,299.0
PucaM_atlas-grey-42,Men's Fashion,1200.0
Life source_GS300,Health & Sports,1090.0
OPI_NLF16,Beauty & Grooming,990.0
salience_SK101-L,Men's Fashion,1999.0
panasonic_3411,Mobiles & Tablets,3200.0
UK_Cake Rusk Cardamom 150 Gms,Soghaat,90.0
bb_WSTIV,Kids & Baby,1100.0
KI_bedsheet-2050mkmmbs,Home & Living,1699.0
Al Muhafiz Sohan Halwa Cashew,Soghaat,570.0
audionic_AH-70,Computing,190.0
Dawlance_MD 10 + DWB 600,\N,8420.0
kcc_social,Beauty & Grooming,180.0
kcc_smart,Home & Living,180.0
Rajesh_RAJ001,Home & Living,1300.0
HR_Moong Dal 200g,Soghaat,200.0
UK_Karachi Halwa Tin Pack 400 Gms,Soghaat,235.0
emo_SS-17227-L,Men's Fashion,475.0
sst_Jessy-Regular fit-Large,Men's Fashion,1950.0
BK5110500DG,Soghaat,499.0
kcc_Charming Perfumed Talcum Powder-100gm,Beauty & Grooming,74.0
sstop_etable,Computing,2465.0
sst_Logic 2-Slim Fit-Large,Men's Fashion,1950.0
samsung_ETA-U90JWSO_45,Mobiles & Tablets,890.0
AKL_GMTP002_Earth Red-L,Men's Fashion,1250.0
mm_AG-2049,Appliances,6240.0
UC_PP-004-L,Men's Fashion,650.0
liberty_9788174367181,Books,200.0
casio_MTP-1302D-1A1VDF,Men's Fashion,3050.0
Senorita_GAK-836-RED-34,Kids & Baby,1870.0
Dany_6954217552453,Mobiles & Tablets,6900.0
dany_6954217942148,Mobiles & Tablets,9500.0
kcc_funky,Beauty & Grooming,160.0
Huawei_Y6 DS,Mobiles & Tablets,13999.0
iPhone SE-16GB,Mobiles & Tablets,51999.0
3m_NANOPAX,Others,1020.0
Gasonline-MPT-524-BEIGE-36,\N,1099.0
Ifsha_CU-0047,Men's Fashion,399.0
UK_Namkino Badshahi Mix 200 Gms,Soghaat,100.0
UK_Namkino Spicy Peanuts 200 Gms,Soghaat,100.0
Tiraaz_Tm-02-019-L,Men's Fashion,2253.0
centrix_Scootify - Red Self Balancing Scooter,Kids & Baby,16999.0
Audionic  BT125 Speaker,Computing,775.0
HOL_A-802T-39,Men's Fashion,1799.0
BB_RCKBS_GARD,Home & Living,1695.0
UK_Gift Box Habshi Halwa 500 Gms,Soghaat,340.0
UK_Habshi Halwa Tin Pack 400 Gms,Soghaat,285.0
UK_Pheni 400 Gms,Soghaat,150.0
UC_SP-042-L,Men's Fashion,700.0
emo_MJ-21916-36,Men's Fashion,899.0
Gasonline-MPT-560-GREY-30,\N,1099.0
AKL_A131128809_SS-87_Sea Green,Women's Fashion,1675.0
AKL_A131130523_SS-185_Blue,Women's Fashion,990.0
AKL_A131128827_SS-118_Ivory,Women's Fashion,1675.0
nabila_Nchant FOR Olive,Beauty & Grooming,6900.0
AKL_DL-02-YELLOW,Women's Fashion,1499.0
UK_Namkino Chatkhara Papdi 150 Gms,Soghaat,80.0
jackpot_JP-14,Appliances,1050.0
RUB_Kingston_16 gb Sd Card,Mobiles & Tablets,800.0
B-power_8284384-42,Men's Fashion,2299.0
Emotions_Emo-BS-28436,Home & Living,2400.0
J&J_JJNR16,Kids & Baby,399.0
J&J_JJPS-007XL,Kids & Baby,495.0
J&J_JJNR12,Kids & Baby,399.0
nabila_Ngage FOR Honey,Beauty & Grooming,6900.0
Truck Art Round metal tray,Home & Living,3500.0
CK_530-Vest-XLarge,Men's Fashion,203.0
CK_530-Underwear-XLarge,Men's Fashion,203.0
closecomfort_PC8,Appliances,29000.0
edifier_XM6-PF,Computing,7930.0
qzs_Black V-Neck T-Shirt,Men's Fashion,800.0
sm-SamsungC3520,Mobiles & Tablets,6700.0
qzs_V-neck by QZS Clothing,Men's Fashion,550.0
BO_4 Ft Sunset Glow Baby Swimming Pool,\N,1190.0
RT002-M,Men's Fashion,2339.0
shubinak_SN-ERT-13-S - 34,Men's Fashion,1200.0
shubinak_SN-ERT-13-grey-S - 34,Men's Fashion,1200.0
AKL_A131128767_SS-25_Light Blue,Women's Fashion,3775.0
AKL_A131130507_SS-161_Blue,Women's Fashion,3975.0
Silkasia_Cream Stylish Embroidered Dress,Women's Fashion,4500.0
UK_ Namkino Lajawab Mix 200 Gms,Soghaat,80.0
QMobile Bolt T50,Mobiles & Tablets,3750.0
shubinak_SN-ERT-13-grey-M - 36,Men's Fashion,1200.0
kcc_bakheer,Home & Living,120.0
bata_comfit-8744557-41-7,Men's Fashion,799.0
JBS_WEN-043,\N,1880.0
JBS_TAT-173,Home & Living,820.0
Hstyle_HW-2016165,Beauty & Grooming,350.0
emo_Emo-VB-12 Black Blazer,Men's Fashion,3299.0
vitamin_Ultra Gainer,Health & Sports,1200.0
BK1010200BR,Soghaat,99.0
UK_Gift Box Sohan Halwa 500 Gms,Soghaat,340.0
UK_Gulab Jamun Tin Pack  1000 Gms,Soghaat,520.0
AC_ac168-yellow,Women's Fashion,1019.0
Emo_SS-21775-41,Men's Fashion,1199.0
Hawks_A17,Men's Fashion,425.0
urban_URT0023-L,Men's Fashion,1200.0
Bold_Fresh,Beauty & Grooming,299.0
BK5110250OR,Soghaat,234.0
BK5110500,Soghaat,500.0
Infinix Hot Note X551-1GB-Gold-Nationwide Delivery,Appliances,12600.0
Lenovo Zuk,Mobiles & Tablets,33999.0
Nokia Asha 105,Mobiles & Tablets,2620.0
bata_comfit-8613714-44-10,Men's Fashion,999.0
bata_leena-5161226-37-4,Women's Fashion,999.0
PucaM_SS-25-BLACK-41,Men's Fashion,1125.0
PucaM_SS-2715-CAMEL-43,Men's Fashion,1500.0
kkc_Rose King  Air Freshener,Home & Living,144.0
AC_110-white with blacck,Women's Fashion,999.0
hol_T-38-42,Men's Fashion,1450.0
Am-PTV_VC-1029-M,Men's Fashion,6000.0
Audionic_ LT-480 ,Computing,275.0
sputnik_701/5-9,Men's Fashion,1500.0
B-power_8282391-43,Men's Fashion,2499.0
sputnik_701/D14-10,Men's Fashion,1500.0
Hstyle_HW-2016156,Beauty & Grooming,405.0
Veet_1,Beauty & Grooming,165.0
kcc_Harmony Perfumed Talcum Powder-200gm,Beauty & Grooming,143.0
rute2_Vit B 50 Complex 50 Tablets,Health & Sports,890.0
vitamin_Ultra Whey Protein,Health & Sports,1200.0
MYWALET_MW-033-D1-BLACK,Men's Fashion,1082.0
vitamin_Royal Jelly 500,Health & Sports,640.0
VITAMIN_HAIR SKIN & NAIL FORMULA,Health & Sports,480.0
VITAMIN_WHITENING BB CREAM,Beauty & Grooming,280.0
alkhair_Black Seed Oil Softgel Capsules100  Cap bottle,\N,500.0
ESPICO_050-Fancy Nylon Bra-Black-34,Women's Fashion,430.0
JBS_SL-STOR-017,Home & Living,100.0
JBS_SL-STOR-051,Home & Living,100.0
JBS_SL-STOR-024,Home & Living,180.0
sputnik_177/9-10,Men's Fashion,1500.0
Audionic_DJ-106,Computing,625.0
sputnik_3444/10-9,Women's Fashion,2000.0
ihijab_PN039,Women's Fashion,639.0
ajwa_Ajwa Seeds Powder,Health & Sports,900.0
ajwa_Ajwa Dates Powder,Health & Sports,900.0
ESPICO_Classic Cotton-Skin-42,Women's Fashion,350.0
samsung_EBF1A2GBU_8,Mobiles & Tablets,1090.0
Ajmery_BRR-590-L,Men's Fashion,899.0
HOS-m_DUNBM100,Beauty & Grooming,2900.0
HOS-m_DVFCWM125,Beauty & Grooming,3000.0
UK_Namkino Aaloo Sev 200 Gms,Soghaat,80.0
HOS_HBDRW90,Beauty & Grooming,4750.0
PucaM_COOPER-NAVY-41,Men's Fashion,2400.0
sputnik_741/14-8,Men's Fashion,1400.0
Q&Q_RP00J002Y,Men's Fashion,2550.0
HR_Bombay Mixture 200g,Soghaat,210.0
qzs_Black Mens V-neck T-shirt,Men's Fashion,805.0
UK_ Cake Rusk Cardamom 700 Gms,Soghaat,350.0
Audionic6-954217-516486,Computing,450.0
RS_Nimcolia-5pack,Soghaat,395.0
qzs_White V-Neck T-Shirt,Men's Fashion,800.0
Bold_Noir,Beauty & Grooming,299.0
QMobile Noir S3,Mobiles & Tablets,12500.0
Rajesh_Pink Dora Electric Piano Keyboard,Kids & Baby,865.0
Q MOBILE Noir X700 Pro,Mobiles & Tablets,9400.0
Samsung_40J5200,Entertainment,61460.0
qzs_Silver Grey V-Neck Shirt,Men's Fashion,695.0
LALA_LFK-10,Women's Fashion,1350.0
ESPICO_Seamless-Black-Free size,Women's Fashion,420.0
OHT_LGW-13-Black,Men's Fashion,1825.0
Ctees_Teddy Love Keychain,Men's Fashion,325.0
Salience_SS110-M,Men's Fashion,1352.0
sputnik_882/9-9,Men's Fashion,1600.0
Ifsha_CU-0051,Men's Fashion,499.0
Apple iPhone 6 (16GB) Gold,Mobiles & Tablets,69999.0
KI_bedsheet-2154,Home & Living,1399.0
R&I_eIcon Series 12000BTU,Appliances,35640.0
kcc_mature,Beauty & Grooming,180.0
Nokia 222,Mobiles & Tablets,4505.0
Audionic_ B-800,Computing,1375.0
KC_209 White-XL,Men's Fashion,3290.0
J&J_JJNR8,Kids & Baby,399.0
Maguari_TTHT-6,Home & Living,161.25
Elite_EDF-89R,Appliances,6999.0
Dawlance_DW-540 AF,Appliances,22800.0
vitamin_Super Yohimbe 1000,Health & Sports,800.0
vitamin_Menopause Formula,Health & Sports,480.0
HR_Hara Chiwda 200g,Soghaat,210.0
nabila_NGELIC FOR IVORY,Beauty & Grooming,6900.0
Veet_2,Beauty & Grooming,165.0
cr_PUMPKIN SEEDS LARGE,Soghaat,220.0
CK_730-Vest-Large,Men's Fashion,174.0
CK_530-Underwear-Medium,Men's Fashion,169.0
Turbo_100159,Home & Living,100.0
redspot_9789810550127,School & Education,980.0
